Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_CP006927.1	"Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N1, complete sequence"	pNJST258N1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006926.1	"Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N2, complete sequence"	pNJST258N2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006925.1	"Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N3, complete sequence"	pNJST258N3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006928.1	"Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N4, complete sequence"	pNJST258N4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006924.1	"Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N5, complete sequence"	pNJST258N5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006922.1	"Klebsiella pneumoniae 30684/NJST258_2 plasmid pNJST258C1, complete sequence"	pNJST258C1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006919.1	"Klebsiella pneumoniae 30684/NJST258_2 plasmid pNJST258C2, complete sequence"	pNJST258C2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NZ_CP006921.1	"Klebsiella pneumoniae 30684/NJST258_2 plasmid pNJST258C3, complete sequence"	pNJST258C3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	USA	urinary tract infection	NA
NC_005249.1	"Klebsiella pneumoniae CG43 plasmid pLVPK, complete sequence"	pLVPK	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NC_021664.2	"Klebsiella pneumoniae FCF1305 plasmid pKPC_FCF13/05, complete sequence"	pKPC_FCF13/05	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NC_021660.2	"Klebsiella pneumoniae FCF3SP plasmid pKPC_FCF/3SP, complete sequence"	pKPC_FCF/3SP	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_HG969995.1	"Klebsiella pneumoniae isolate 01C03 plasmid pIT-01C03, complete sequence"	pIT-01C03	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_HG969997.1	"Klebsiella pneumoniae isolate 01C22 plasmid pIT-01C22, complete sequence"	pIT-01C22	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP016920.1	"Klebsiella pneumoniae isolate 11 plasmid pColKP3_DHQP1300920, complete sequence"	pColKP3_DHQP1300920	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013	USA	Urine	NA
NZ_CP016922.1	"Klebsiella pneumoniae isolate 11 plasmid pIncFIB_DHQP1300920, complete sequence"	pIncFIB_DHQP1300920	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013	USA	Urine	NA
NZ_CP016921.1	"Klebsiella pneumoniae isolate 11 plasmid pIncHI1B_DHQP1300920, complete sequence"	pIncHI1B_DHQP1300920	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013	USA	Urine	NA
NZ_CP016919.1	"Klebsiella pneumoniae isolate 11 plasmid pIncR_DHQP1300920, complete sequence"	pIncR_DHQP1300920	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013	USA	Urine	NA
NZ_HG969998.1	"Klebsiella pneumoniae isolate 11C07 plasmid pIT-11C07, complete sequence"	pIT-11C07	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_HG969996.1	"Klebsiella pneumoniae isolate 12C47 plasmid pIT-12C47, complete sequence"	pIT-12C47	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_OU877720.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_OU877722.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_OU877723.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid 7, complete sequence"	plasmid 7	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_OU877721.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid p179KP_NDM21, complete sequence"	p179KP_NDM21	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_LT216440.1	"Klebsiella pneumoniae isolate 207M1D0-sc-2013-04-03T11:21:06Z-1606409 plasmid KPN207_p4, complete sequence"	KPN207_p4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP016925.1	"Klebsiella pneumoniae isolate 23 plasmid pCTXM15_DHQP1400954, complete sequence"	pCTXM15_DHQP1400954	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
